,DATA.TYPE,YEAR,ICPR.STATE.CODE,STATE.NAME,860SLAVE.FEMALES.00.01(UNDER.1),860SLAVE.FEMALES.01.04,860SLAVE.FEMALES.05.09,860SLAVE.FEMALES.10.14,860SLAVE.FEMALES.15.19,860SLAVE.FEMALES.20.29,860SLAVE.FEMALES.30.39,860SLAVE.FEMALES.40.49,860SLAVE.FEMALES.50.59,860SLAVE.FEMALES.60.69,860SLAVE.FEMALES.70.79,860SLAVE.FEMALES.80.89,860SLAVE.FEMALES.90.99,860SLAVE.FEMALES.99.AND.OVER,860SLAVE.FEMALES.AGE.UNKW,860SLAVE.MALES.00-01(UNDER.1),860SLAVE.MALES.01.04,860SLAVE.MALES.05.09,860SLAVE.MALES.10.14,860SLAVE.MALES.15.19,860SLAVE.MALES.20.29,860SLAVE.MALES.30.39,860SLAVE.MALES.40.49,860SLAVE.MALES.50.59,860SLAVE.MALES.60.69,860SLAVE.MALES.70.79,860SLAVE.MALES.80.89,860SLAVE.MALES.90.99,860SLAVE.MALES.99.AND.OVER,860SLAVE.MALES.AGE.UNKW,860TOT.SLAVE.FEMALES,860TOT.SLAVE.MALES
1,S,860,1,CONNECTICUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,S,860,2,MAINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,S,860,3,MASSACHUSETTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,S,860,4,"NEW HAMPSHIRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,S,860,5,"RHODE ISLAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,S,860,6,VERMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,S,860,11,DELAWARE,28,114,124,146,149,182,99,48,26,12,8,2,0,0,0,12,126,135,158,158,163,46,28,17,12,2,2,1,0,0,938,860
92,S,860,12,"NEW JERSEY",0,0,0,0,0,0,1,0,0,2,7,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,12,6
129,S,860,13,"NEW YORK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,S,860,14,PENNSYLVANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,S,860,21,ILLINOIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,S,860,22,INDIANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,S,860,23,MICHIGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,S,860,24,OHIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,S,860,25,WISCONSIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,S,860,31,IOWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,S,860,32,KANSAS,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
812,S,860,33,MINNESOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,S,860,34,MISSOURI,1805,8584,9314,8539,6835,9497,6019,3649,1881,942,327,104,45,28,2,1752,8523,9547,8613,7053,10187,5621,3240,1659,785,253,85,29,10,3,57571,57360
979,S,860,35,NEBRASKA,0,0,1,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,9,6
1127,S,860,40,VIRGINIA,7079,32586,35387,33820,27362,37823,26090,17862,11188,7563,3081,1068,319,138,16,6771,32029,35873,36056,27340,41625,26858,18744,12089,8007,2986,815,221,66,3,241382,249483
1141,S,860,41,ALABAMA,6400,30495,31491,28968,25747,39180,25058,15510,7830,4603,1345,476,131,74,6,6114,29792,31281,30453,24247,40363,24942,15762,7799,5033,1396,407,99,76,2,217314,217766
1195,S,860,42,ARKANSAS,1743,7638,8056,7090,6997,11117,6164,3496,1480,836,194,71,31,20,8,1638,7506,8273,7459,6490,12107,6398,3502,1581,934,207,46,20,11,2,54941,56174
1259,S,860,43,FLORIDA,883,4255,4274,4145,3497,5413,3483,2238,1145,582,227,70,30,14,41,818,4304,4519,4272,3444,5688,3644,2324,1235,621,222,81,34,15,27,30397,31348
1338,S,860,44,GEORGIA,7137,33235,34797,31547,26708,41199,26216,15893,8439,5069,1758,664,166,117,60,6881,32803,34436,32779,25939,40703,24404,15267,8268,4997,1794,578,165,111,68,233005,229193
1444,S,860,45,LOUISIANA,4239,18857,20278,17043,17334,31415,21331,14676,7248,3551,1139,339,106,66,8,3865,18419,20518,18034,16158,34142,24399,17844,9394,4362,1353,397,124,75,12,159749,171977
1506,S,860,46,MISSISSIPPI,6114,29198,29429,27160,25402,40259,24190,14278,6319,3914,1134,357,93,82,84,5560,28422,29069,28540,23886,41170,24536,15015,6889,4526,1149,344,107,84,80,217330,219301
1590,S,860,47,"NORTH CAROLINA",4768,24181,26308,23759,18317,26494,16737,10005,7225,4106,1668,620,225,122,55,4561,23641,26168,25501,18435,27584,16412,10087,7426,4220,1656,546,143,56,33,164590,166469
1645,S,860,48,"SOUTH CAROLINA",5916,27953,29515,27647,23205,33952,23753,16339,9121,5312,2108,645,255,73,41,5390,26907,28482,28286,21752,32225,21367,14997,8942,5335,2035,568,178,72,35,205835,196571
1783,S,860,49,TEXAS,2853,13336,13727,12099,11576,17285,10008,5758,2528,1156,366,95,46,30,22,2778,13090,13690,12683,10796,17778,9901,5512,2717,1272,330,116,30,22,18,91377,91189
1859,S,860,51,KENTUCKY,3673,16041,17618,16063,13590,17711,11866,7643,4317,2484,953,334,107,45,29,3608,15884,17338,16834,13504,19179,11481,7446,4320,2307,766,239,54,19,30,112474,113009
1927,S,860,52,MARYLAND,1223,5819,6163,5898,5359,7372,4485,2939,1709,1197,457,159,66,30,0,1168,5846,6363,6437,5684,8067,4237,2803,1882,1196,426,147,41,16,0,42876,44313
2010,S,860,54,TENNESSEE,4499,20197,21966,20077,16099,23778,14798,8487,5333,2715,922,318,94,59,7,4305,19448,21443,20606,15328,23837,13988,8135,5501,2579,838,248,71,38,5,139349,136370
2024,S,860,65,NEVADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,S,860,71,CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084,S,860,72,OREGON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
